name,label,full_name,latitude,longitude,year,color,icon,scale
Nettó Granda,,Nettó Granda,64.154541,-21.951684,2025,#448E9D,locator,0.7
Iceland Glæsibæ,,Iceland Glæsibæ,64.1344236,-21.8695903,2025,#448E9D,locator,0.7
Krambúðin Laugalæk,,Krambúðin Laugalæk,64.148716,-21.8838181,2025,#448E9D,locator,0.7
Nettó Lágmúla,,Nettó Lágmúla,64.1380739,-21.8907352,2025,#448E9D,locator,0.7
Nettó Mosfellsbæ,,Nettó Mosfellsbæ,64.1641025,-21.6907279,2025,#448E9D,locator,0.7
Krambúðin Strax,,Krambúðin Strax,64.1307694,-21.9010477,2025,#448E9D,locator,0.7
Nettó Engihjalla,,Nettó Engihjalla,64.109909,-21.8587635,2025,#448E9D,locator,0.7
Krambúðin Garðabæ,,Krambúðin Garðabæ,64.0744641,-21.9075856,2025,#448E9D,locator,0.7
Nettó Salavegi,,Nettó Salavegi,64.0938102,-21.8591088,2025,#448E9D,locator,0.7
Iceland Seljabraut,,Iceland Seljabraut,64.099524,-21.8313279,2025,#448E9D,locator,0.7
Iceland Vesturbergi,,Iceland Vesturbergi,64.1056075,-21.8228697,2025,#448E9D,locator,0.7
Piknik Lóuhólum,,Piknik Lóuhólum,64.1090791,-21.8169849,2025,#448E9D,locator,0.7
Vikivaki,,Vikivaki,64.1432577,-21.9193426,2025,#448E9D,locator,0.7
Vikivaki Laugarvegi,,Vikivaki Laugarvegi,64.1464327,-21.9322098,2025,#448E9D,locator,0.7
Drekinn,,Drekinn,64.079454,-21.943236,2025,#448E9D,locator,0.7
Verslunin Álfheimum,,Verslunin Álfheimum,64.1374768,-21.8591218,2025,#448E9D,locator,0.7
Djákninn Reykjavík,,Djákninn Reykjavík,64.13297,-21.87558,2025,#448E9D,locator,0.7
Svens Nýbýlavegi,,Svens Nýbýlavegi,64.11194,-21.8899,2025,#448E9D,locator,0.7
Svens Höfðabakka,,Svens Höfðabakka,64.12833,-21.80853,2025,#448E9D,locator,0.7
Svens Borgartún,,Svens Borgartún,64.1412,-21.91,2025,#448E9D,locator,0.7
Svens Skeifunni,,Svens Skeifunni,64.13137,-21.87797,2025,#448E9D,locator,0.7
Svens Kringlunni,,Svens Kringlunni,64.13245,-21.88941,2025,#448E9D,locator,0.7
Svens Árbæ,,Svens Árbæ,64.12074,-21.78439,2025,#448E9D,locator,0.7
Svens Dalshrauni,,Svens Dalshrauni,64.08267,-21.94344,2025,#448E9D,locator,0.7
Svens Ánanaust,,Svens Ánanaust,64.15116,-21.95776,2025,#448E9D,locator,0.7
Svens Dalvegur,,Svens Dalvegur,64.06667,-21.93333,2025,#448E9D,locator,0.7
Svens Spönginni,,Svens Spönginni,64.13548,-21.89541,2025,#448E9D,locator,0.7
Svens Grímsbæ,,Svens Grímsbæ,64.135,-21.895,2025,#448E9D,locator,0.7
Fairvape,,Fairvape,64.12952,-21.86425,2025,#448E9D,locator,0.7
Grand Vape Shop,,Grand Vape Shop,64.145,-21.922,2025,#448E9D,locator,0.7
Gryfjan Skeifunni,,Gryfjan Skeifunni,64.12946,-21.87075,2025,#448E9D,locator,0.7
Gryfjan Veltusundi,,Gryfjan Veltusundi,64.14778,-21.94,2025,#448E9D,locator,0.7
Skýjaborgir Höfðabakka,,Skýjaborgir Höfðabakka,64.12769,-21.81104,2025,#448E9D,locator,0.7
Skýjaborgir Suðurlandsbraut,,Skýjaborgir Suðurlandsbraut,64.13992,-21.88584,2025,#448E9D,locator,0.7
