name,full_name,latitude,longitude,year,store_type,location_type
Kúlan (Ís-Grill),"Kúlan (Ís-Grill),Réttarholtsvegur 1, 108 Reykjavík",64.1256875,-21.8634043,2025,Retail,Capital Region
Esjuskálinn,"Esjuskálinn,Vallargrund 1-3, 116 Reykjavík",64.2418522,-21.8319117,2025,Retail,Capital Region
Stúdentakjallarinn,"Stúdentakjallarinn,Sæmundargata 4, 101 Reykjavík",64.1398958,-21.9503903,2025,Retail,Capital Region
Fríhöfnin,"Fríhöfnin,Flugstöð Leifs Eiríkssonar, 235 Keflavíkurflugvöllur",63.994833,-22.6239783,2025,Retail,Capital Region
Gaukurinn,"Gaukurinn,Tryggvagata 22, 101 Reykjavík",64.1487171,-21.940199,2025,Retail,Capital Region
GS Búllan Dalbraut,"GS Búllan Dalbraut,Dalbraut 3, 105 Reykjavík",64.1493754,-21.8719671,2025,Retail,Capital Region
Hagkaup Garðabæ,"Hagkaup Garðabæ,Litlatún 3, 210 Garðabær",64.0909781,-21.926364,2025,Retail,Capital Region
Hagkaup Skeifunni,"Hagkaup Skeifunni,Skeifunni 15, 108 Reykjavík",64.1294564,-21.8693684,2025,Retail,Capital Region
Hagkaup Kringlunni,"Hagkaup Kringlunni,Kringlunni 4-12, 103 Reykjavík",64.1299986,-21.8953148,2025,Retail,Capital Region
Hagkaup Eiðistorgi,"Hagkaup Eiðistorgi,Eiðistorg 11, 170 Seltjarnarnes",64.1502427,-21.9845634,2025,Retail,Capital Region
Hagkaup Spönginni,"Hagkaup Spönginni,Spöngin 25, 112 Reykjavík",64.150745,-21.7876703,2025,Retail,Capital Region
Hagkaup Smáralind,"Hagkaup Smáralind,Hagasmári 1, 201 Kópavogur",64.1011864,-21.8836695,2025,Retail,Capital Region
Hlöllabátar Hagasmára,"Hlöllabátar Hagasmára,Hagasmári 9, 200 Kópavogur",64.102127,-21.8840285,2025,Retail,Capital Region
Hlöllabátar Bústaðarvegi,"Hlöllabátar Bústaðarvegi,Bústaðarvegi 20, 105 Reykjavík",64.1430446,-21.8987587,2025,Retail,Capital Region
Hlöllabátar Bíldshöfða,"Hlöllabátar Bíldshöfða,Bíldshöfða 5, 110 Reykjavík",64.1249808,-21.8320254,2025,Retail,Capital Region
Prinsinn,"Prinsinn,Þönglabakka 6, 109 Reykjavík",64.1018276,-21.8437632,2025,Retail,Capital Region
Lukku Láki,"Lukku Láki,Þverholti 2, 270 Mosfellsbæ",64.1672889,-21.696933,2025,Retail,Capital Region
N1 Ártúnshöfða,"N1 Ártúnshöfða,Ártúnshöfða, 110 Reykjavík",64.1254515,-21.8273575,2025,Retail,Capital Region
N1 Bíldshöfða,"N1 Bíldshöfða,Bíldshöfða 2, 110 Reykjavík",64.1243136,-21.8291914,2025,Retail,Capital Region
N1 Háholti,"N1 Háholti,Háholt 2, 270 Mosfellsbær",64.1681576,-21.6905851,2025,Retail,Capital Region
N1 Lækjargata,"N1 Lækjargata,Lækjargata 46, 220 Hafnarfjörður",64.066769,-21.938881,2025,Retail,Capital Region
N1 Borgartúni,"N1 Borgartúni,Borgartúni 39, 105 Reykjavík",64.1465439,-21.8946461,2025,Retail,Capital Region
N1 Fossvogi,"N1 Fossvogi,Kringlumýrarbraut 100, 108 Reykjavík",64.1177811,-21.8991603,2025,Retail,Capital Region
N1 Reykjavíkurvegi,"N1 Reykjavíkurvegi,Reykjavíkurvegi 54, 220 Hafnarfirði",64.0779658,-21.949432,2025,Retail,Capital Region
N1 Skógarsel,"N1 Skógarsel,Skógarsel 10, 109 Reykjavík",64.1039252,-21.8457528,2025,Retail,Capital Region
