name,full_name,latitude,longitude,year,store_type,location_type
N1 Stóragerði,"N1 Stóragerði,Stóragerði 40, 108 Reykjavík",64.126262,-21.8863475,2025,Retail,Capital Region
N1 Gagnvegi,"N1 Gagnvegi,Gagnvegur 2, 112 Reykjavík",64.1396496,-21.7800256,2025,Retail,Capital Region
N1 Hringbraut,"N1 Hringbraut,Hringbraut 12, 101 Reykjavík",64.1385773,-21.9380006,2025,Retail,Capital Region
N1 Stórahjalla,"N1 Stórahjalla,Stórihjalli 2, 200 Kópavogur",64.1101516,-21.8565888,2025,Retail,Capital Region
N1 Ægisíðu,"N1 Ægisíðu,Ægisíða 102, 107 Reykjavík",64.1435519,-21.9662608,2025,Retail,Capital Region
ÓJK-ÍSAM ehf,"ÓJK-ÍSAM ehf,Blikastaðavegur 2-8, 112 Reykjavík",64.1457097,-21.7576933,2025,Retail,Capital Region
10-11 Austurstræti,"10-11 Austurstræti,Austurstræti 17, 101 Reykjavík",64.1475672,-21.9375071,2025,Retail,Capital Region
Extra Barónsstíg,"Extra Barónsstíg,Barónsstíg 4, 101 Reykjavík",64.144646,-21.9184727,2025,Retail,Capital Region
Orkan Grjóthálsi,"Orkan Grjóthálsi,Grjóthálsi 8, 110 Reykjavík",64.1469868,-21.9407552,2025,Retail,Capital Region
Íssel,"Íssel,Smáratorg 1, 201 Kópavogur",64.1039789,-21.8784184,2025,Retail,Capital Region
Krambúðin Hófgerði,"Krambúðin Hófgerði,Hófgerði 30, 200 Kópavogur",64.1117479,-21.918289,2025,Retail,Capital Region
Krambúðin Lönguhlíð,"Krambúðin Lönguhlíð,Mávahlíð 26, 105 Reykjavík",64.1333921,-21.9111068,2025,Retail,Capital Region
Nettó Miðvangi,"Nettó Miðvangi,Miðvangi 41, 220 Hafnarfjörður",64.0668935,-21.9546958,2025,Retail,Capital Region
Krambúðin Menntavegi,"Krambúðin Menntavegi,Menntavegi 1, 102 Reykjavík",64.1469868,-21.9407552,2025,Retail,Capital Region
Nettó Nóatúni,"Nettó Nóatúni,Nóatúni 17, 105 Reykjavík",64.1461119,-21.9037432,2025,Retail,Capital Region
Iceland Staðarbergi,"Iceland Staðarbergi,Staðarbergi 2-4, 221 Hafnarfjörður",64.06644,-21.936223,2025,Retail,Capital Region
Krambúðin Grímsbæ,"Krambúðin Grímsbæ,Efstaland 26, 108 Reykjavík",64.1220387,-21.8751242,2025,Retail,Capital Region
Krambúðin Skólavörðustíg,"Krambúðin Skólavörðustíg,Skólavörðustígur 42, 101 Reykjavík",64.142863,-21.928474,2025,Retail,Capital Region
Krambúðin Eggertsgötu,"Krambúðin Eggertsgötu,Eggertsgata 24, 107 Reykjavík",64.135353,-21.950681,2025,Retail,Capital Region
Krambúðin Hjarðarhaga,"Krambúðin Hjarðarhaga,Hjarðarhagi 47, 107 Reykjavík",64.1417232,-21.9619544,2025,Retail,Capital Region
Nettó Mjódd,"Nettó Mjódd,Þönglabakki 1, 109 Reykjavík",64.1087986,-21.8422795,2025,Retail,Capital Region
Nettó Granda,"Nettó Granda,Fiskislóð 3, 101 Reykjavík",64.154541,-21.951684,2025,Retail,Capital Region
Iceland Glæsibæ,"Iceland Glæsibæ,Álfheimar 74, 104 Reykjavík",64.1344236,-21.8695903,2025,Retail,Capital Region
Krambúðin Laugalæk,"Krambúðin Laugalæk,Laugalækur 9, 105 Reykjavík",64.148716,-21.8838181,2025,Retail,Capital Region
Nettó Lágmúla,"Nettó Lágmúla,Lágmúli 9, 105 Reykjavík",64.1380739,-21.8907352,2025,Retail,Capital Region
Nettó Mosfellsbæ,"Nettó Mosfellsbæ,Sunnukriki 4, 270 Mosfellsbær",64.1641025,-21.6907279,2025,Retail,Capital Region
Krambúðin Strax,"Krambúðin Strax,Stigahlíð 45-47, 105 Reykjavík",64.1307694,-21.9010477,2025,Retail,Capital Region
Nettó Engihjalla,"Nettó Engihjalla,Engihjalli 8, 200 Kópavogur",64.109909,-21.8587635,2025,Retail,Capital Region
Krambúðin Garðabæ,"Krambúðin Garðabæ,Urriðaholtsstræti 2, 210 Garðabær",64.0744641,-21.9075856,2025,Retail,Capital Region
Nettó Salavegi,"Nettó Salavegi,Salavegur 2, 201 Kópavogur",64.0938102,-21.8591088,2025,Retail,Capital Region
Iceland Seljabraut,"Iceland Seljabraut,Seljabraut 54, 109 Reykjavík",64.099524,-21.8313279,2025,Retail,Capital Region
Iceland Vesturbergi,"Iceland Vesturbergi,Vesturberg 76, 111 Reykjavík",64.1056075,-21.8228697,2025,Retail,Capital Region
Piknik Lóuhólum,"Piknik Lóuhólum,Lóuhólar 2-6, 111 Reykjavík",64.1090791,-21.8169849,2025,Retail,Capital Region
Vikivaki,"Vikivaki,Barónsstíg 27, 101 Reykjavík",64.1432577,-21.9193426,2025,Retail,Capital Region
Vikivaki Laugarvegi,"Vikivaki Laugarvegi,Laugavegur 5, 101 Reykjavík",64.1464327,-21.9322098,2025,Retail,Capital Region
Drekinn,"Drekinn,Dalshraun 13, 220 Hafnarfjörður",64.079454,-21.943236,2025,Retail,Capital Region
Verslunin Álfheimum,"Verslunin Álfheimum,Álfheimar 2, 104 Reykjavík",64.1374768,-21.8591218,2025,Retail,Capital Region
Djákninn Reykjavík,"Djákninn Reykjavík, Suðurlandsbraut 52, 108 Reykjavík",64.13297,-21.87558,2025,Specialty,Capital Region
Svens Nýbýlavegi,"Svens Nýbýlavegi, Nýbýlavegur 2, 200 Kópavogur",64.11194,-21.8899,2025,Specialty,Capital Region
Svens Höfðabakka,"Svens Höfðabakka, Höfðabakki 1, 110 Reykjavík",64.12833,-21.80853,2025,Specialty,Capital Region
Svens Borgartún,"Svens Borgartún, Borgartúni 23, 105 Reykjavík",64.1412,-21.91,2025,Specialty,Capital Region
Svens Skeifunni,"Svens Skeifunni, Skeifunni 3a, 108 Reykjavík",64.13137,-21.87797,2025,Specialty,Capital Region
Svens Kringlunni,"Svens Kringlunni, Kringlunni 4, 103 Reykjavík",64.13245,-21.88941,2025,Specialty,Capital Region
Svens Árbæ,"Svens Árbæ, Hraunbær 102, 110 Reykjavík",64.12074,-21.78439,2025,Specialty,Capital Region
Svens Dalshrauni,"Svens Dalshrauni, Dalshraun 3, 220 Hafnarfjörður",64.08267,-21.94344,2025,Specialty,Capital Region
Svens Ánanaust,"Svens Ánanaust, Ánanaust 15, 101 Reykjavík",64.15116,-21.95776,2025,Specialty,Capital Region
Svens Dalvegur,"Svens Dalvegur, Dalvegur 4, 201 Kópavogur",64.06667,-21.93333,2025,Specialty,Capital Region
Svens Spönginni,"Svens Spönginni, Spöngin 3, 112 Reykjavík",64.13548,-21.89541,2025,Specialty,Capital Region
Svens Grímsbæ,"Svens Grímsbæ, Efstaland 26, 108 Reykjavík",64.135,-21.895,2025,Specialty,Capital Region
Fairvape,"Fairvape, Fákafen 11, 108 Reykjavík",64.12952,-21.86425,2025,Specialty,Capital Region
Silfurský Selfossi,"Silfurský Selfossi, Eyrarvegi 15, 800 Selfoss",63.93692,-21.00511,2025,Specialty,Capital Region
Grand Vape Shop,"Grand Vape Shop, Hverfisgata 64, 101 Reykjavík",64.145,-21.922,2025,Specialty,Capital Region
Gryfjan Skeifunni,"Gryfjan Skeifunni, Skeifan 17, 108 Reykjavík",64.12946,-21.87075,2025,Specialty,Capital Region
Gryfjan Veltusundi,"Gryfjan Veltusundi, Veltusundi 1, 101 Reykjavík",64.14778,-21.94,2025,Specialty,Capital Region
Skýjaborgir Höfðabakka,"Skýjaborgir Höfðabakka, Höfðabakki 3, 110 Reykjavík",64.12769,-21.81104,2025,Specialty,Capital Region
Skýjaborgir Suðurlandsbraut,"Skýjaborgir Suðurlandsbraut, Suðurlandsbraut 4a, 108 Reykjavík",64.13992,-21.88584,2025,Specialty,Capital Region
Albína,"Albína,Aðalstræti 89, 450 Patreksfjörður",65.593078,-23.978106,2025,Retail,Countryside
Bifreiðastöð Oddeyrar,"Bifreiðastöð Oddeyrar,Strandgata, 600 Akureyri",65.6840514,-18.0870286,2025,Retail,Countryside
Bjarnabúð,"Bjarnabúð,Brautarhóll, 806 Selfoss",63.9318322,-20.9996925,2025,Retail,Countryside
Víkurskálinn í Bolungarvík,"Víkurskálinn í Bolungarvík,Þuríðarbraut 13, 415 Bolungarvík",66.158496,-23.2488221,2025,Retail,Countryside
Kaupfjelagið á Breiðdalsvík,"Kaupfjelagið á Breiðdalsvík,Sólvellir 25, 730 Fjarðabyggð",64.7921006,-14.0093951,2025,Retail,Countryside
Sjoppan mín Ólafsfirði,"Sjoppan mín Ólafsfirði,Bylgjubyggð 2, 625 Ólafsfirði",66.0698663,-18.6550362,2025,Retail,Countryside
Sjoppan mín Skagaströnd,"Sjoppan mín Skagaströnd,Oddagata 2, 545 Skagaströnd",65.8237198,-20.3063032,2025,Retail,Countryside
Djákninn Reyðarfirði,"Djákninn Reyðarfirði,Búðareyri 28, 730 Fjarðabyggð",65.0346358,-14.2280472,2025,Retail,Countryside
Sjoppan mín Fellabæ,"Sjoppan mín Fellabæ,Lagarfell 2, 700 Egilsstaðir",65.282475,-14.425878,2025,Retail,Countryside
Sjoppan mín Húsavík,"Sjoppan mín Húsavík,Héðinsbraut 6, 640 Húsavík",66.0487902,-17.3441482,2025,Retail,Countryside
Bakkinn,"Bakkinn,Eyrargata 49, 820 Eyrarbakka",63.8623026,-21.1480651,2025,Retail,Countryside
Skeifan Grindavík,"Skeifan Grindavík,Víkurbraut 62, 240 Grindavík",63.844991,-22.434455,2025,Retail,Countryside
Skálinn Stokkseyri,"Skálinn Stokkseyri,Hásteinsvegur 2, 825 Stokkseyri",63.836065,-21.0622636,2025,Retail,Countryside
Bláfell,"Bláfell,Skagfirðingabraut 29, 550 Sauðárkrókur",65.7470651,-19.6456347,2025,Retail,Countryside
Matstöðin,"Matstöðin,Höfðabakki 9, 110 Reykjavík",64.1252755,-21.8108655,2025,Retail,Countryside
Verslunin Borg,"Verslunin Borg,Biskupstungnabraut, 805 Reykholt",64.1762043,-20.4624703,2025,Retail,Countryside
N1 Borgarnes,"N1 Borgarnes,Brúartorg 1, 310 Borgarnes",64.5439698,-21.9105738,2025,Retail,Countryside
N1 Ólafsvík,"N1 Ólafsvík,Ólafsbraut 57, 355 Ólafsvík",64.893652,-23.702832,2025,Retail,Countryside
N1 Akranes,"N1 Akranes,Þjóðbraut 9, 300 Akranes",64.3219647,-22.0653036,2025,Retail,Countryside
N1 Reykjanesbæ,"N1 Reykjanesbæ,Hafnargata 86, 230 Reykjanesbær",63.9966237,-22.5498444,2025,Retail,Countryside
N1 Hveragerði,"N1 Hveragerði,Breiðumörk 1, 810 Hveragerði",63.9961003,-21.1926986,2025,Retail,Countryside
N1 Hvolsvelli,"N1 Hvolsvelli,Austurvegur 3, 860 Hvolsvöllur",63.7511132,-20.2229199,2025,Retail,Countryside
N1 Selfoss,"N1 Selfoss,Austurvegur 48, 800 Selfoss",63.936852,-20.9874629,2025,Retail,Countryside
N1 Egilsstaðir,"N1 Egilsstaðir,Kaupvangur 4, 700 Egilsstaðir",65.2605083,-14.4078155,2025,Retail,Countryside
N1 Höfn,"N1 Höfn,Vesturbraut 1, 780 Höfn í Hornafirði",64.25917,-15.206083,2025,Retail,Countryside
N1 Húsavík,"N1 Húsavík,Héðinsbraut 2, 640 Húsavík",66.0476734,-17.3436127,2025,Retail,Countryside
N1 Mývatn,"N1 Mývatn,Hraunvegur 8, 660 Mývatn",65.6,-17,2025,Retail,Countryside
N1 Blönduósi,"N1 Blönduósi,Norðurlandsvegur 3, 540 Blönduósi",65.6601887,-20.2758006,2025,Retail,Countryside
N1 Staðaskála,"N1 Staðaskála,Hrútafjörður v/ Norðurlandsveg, 500 Staður",65.857,-20.1,2025,Retail,Countryside
N1 Sauðárkrók,"N1 Sauðárkrók,Ártorg 4, 550 Sauðárkrókur",65.7402382,-19.6362162,2025,Retail,Countryside
N1 Ísafirði,"N1 Ísafirði,Hafnarstræti 21, 400 Ísafirði",66.0746581,-23.1232801,2025,Retail,Countryside
N1 Friðarhöfn,"N1 Friðarhöfn,Friðarhöfn, 900 Vestmannaeyjar",63.4442965,-20.2815288,2025,Retail,Countryside
N1 Hörgárbraut,"N1 Hörgárbraut,Hörgárbraut, 603 Akureyri",65.6936605,-18.1153548,2025,Retail,Countryside
N1 Leiruvegi,"N1 Leiruvegi,Leiruvegur, 600 Akureyri",65.6825509,-18.0906858,2025,Retail,Countryside
10-11 Leifsstöð,"10-11 Leifsstöð,Flugstöð Leifs Eiríkssonar, 235 Keflavíkurflugvöllur",63.994833,-22.6239783,2025,Retail,Countryside
Extra Reykjanesbæ,"Extra Reykjanesbæ,Hafnargata 51, 230 Reykjanesbær",64.0012547,-22.5511062,2025,Retail,Countryside
Orkan Fitjum,"Orkan Fitjum,Fitjar, 260 Reykjanesbær",63.9731638,-22.5433989,2025,Retail,Countryside
Petrína,"Petrína,Vatneyri, 450 Patreksfjörður",65.5978138,-24.0004944,2025,Retail,Countryside
Retro mathús,"Retro mathús,Baldurshagi, 565 Hofsós",65.8977127,-19.4120126,2025,Retail,Countryside
Kjörbúðin Garði,"Kjörbúðin Garði,Sunnubraut 4, 250 Suðurnesjabær",64.070422,-22.65014,2025,Retail,Countryside
Kjörbúðin Sandgerði,"Kjörbúðin Sandgerði,Miðnestorgi 1, 245 Suðurnesjabær",64.0076654,-22.6424899,2025,Retail,Countryside
Krambúðin Tjarnarbraut,"Krambúðin Tjarnarbraut,Tjarnarbraut 24, 260 Reykjanesbær",63.9997549,-22.5582716,2025,Retail,Countryside
Nettó Iðavöllum,"Nettó Iðavöllum,Iðavöllum 14, 230 Reykjanesbær",64.0007204,-22.5704175,2025,Retail,Countryside
Nettó Krossmóa,"Nettó Krossmóa,Krossmóa 4, 260 Reykjanesbær",63.9997549,-22.5582716,2025,Retail,Countryside
Nettó Grindavík,"Nettó Grindavík,Víkurbraut 60, 240 Grindavík",63.844468,-22.4344792,2025,Retail,Countryside
Kjörbúðin Grundarfirði,"Kjörbúðin Grundarfirði,Grundargata 38, 350 Grundarfjörður",64.9253063,-23.2601273,2025,Retail,Countryside
Krambúðin Akranesi,"Krambúðin Akranesi,Garðagrund 1, 300 Akranes",64.3202218,-22.0526122,2025,Retail,Countryside
Krambúðin Búðardal,"Krambúðin Búðardal,Vesturbraut 10, 370 Búðardal",65.1081988,-21.7626857,2025,Retail,Countryside
Nettó Borgarnesi,"Nettó Borgarnesi,Borgarbraut 58-60, 310 Borgarnes",64.5428612,-21.9123558,2025,Retail,Countryside
Krambúðin Hringbraut,"Krambúðin Hringbraut,Hringbraut 55, 230 Reykjanesbær",64.0062617,-22.5651774,2025,Retail,Countryside
Kjörbúðin Hellu,"Kjörbúðin Hellu,Suðurlandsvegur 1, 850 Hella",63.83481,-20.401006,2025,Retail,Countryside
Krambúðin Flúðum,"Krambúðin Flúðum,Grund, 845 Flúðum",64.1307505,-20.3212945,2025,Retail,Countryside
Krambúðin Laugarvatni,"Krambúðin Laugarvatni,Dalbraut 8, 840 Laugarvatn",64.2169906,-20.7338532,2025,Retail,Countryside
Krambúðin Selfossi,"Krambúðin Selfossi,Tryggvagata 40, 800 Selfoss",63.9323334,-21.0001881,2025,Retail,Countryside
Nettó Selfossi,"Nettó Selfossi,Austurvegur 42, 800 Selfoss",63.9366247,-20.9897779,2025,Retail,Countryside
Kjörbúðin Djúpavogi,"Kjörbúðin Djúpavogi,Búland 1, 765 Djúpivogur",64.655973,-14.286154,2025,Retail,Countryside
Kjörbúðin Eskifirði,"Kjörbúðin Eskifirði,Strandgata 50, 735 Eskifjörður",65.0708142,-14.0136777,2025,Retail,Countryside
Kjörbúðin Fáskrúðsfirði,"Kjörbúðin Fáskrúðsfirði,Skólavegur 59, 750 Fáskrúðsfjörður",64.9299548,-14.0113188,2025,Retail,Countryside
Kjörbúðin Neskaupsstað,"Kjörbúðin Neskaupsstað,Hafnarbraut 2, 740 Neskaupsstaður",65.147564,-13.6906813,2025,Retail,Countryside
Kjörbúðin Seyðisfirði,"Kjörbúðin Seyðisfirði,Vesturvegur 1, 710 Seyðisfjörður",65.2598077,-14.0088501,2025,Retail,Countryside
Nettó Egilsstaðir,"Nettó Egilsstaðir,Kaupvangur 6, 700 Egilsstaðir",65.2603865,-14.4065315,2025,Retail,Countryside
Nettó Hornafirði,"Nettó Hornafirði,Litlabrú 1, 780 Höfn í Hornafirði",64.252486,-15.212553,2025,Retail,Countryside
Kjörbúðin Þórshöfn,"Kjörbúðin Þórshöfn,Langanesvegur 2, 680 Þórshöfn",66.1985159,-15.3363852,2025,Retail,Countryside
Krambúðin Húsavík,"Krambúðin Húsavík,Garðarsbraut 5, 640 Húsavík",66.0468914,-17.3432937,2025,Retail,Countryside
Krambúðin Reykjahlíð,"Krambúðin Reykjahlíð,Reykjahlíð, 660 Mývatn",65.6424034,-16.9089639,2025,Retail,Countryside
Nettó Húsavík,"Nettó Húsavík,Garðarsbraut 64, 640 Húsavík",66.0393933,-17.3431952,2025,Retail,Countryside
Kjörbúðin Skagaströnd,"Kjörbúðin Skagaströnd,Bogabraut 1, 545 Skagaströnd",65.8244635,-20.3058645,2025,Retail,Countryside
Krambúðin Hólmavík,"Krambúðin Hólmavík,Höfðatún 4, 510 Hólmavík",65.7007999,-21.6859968,2025,Retail,Countryside
Nettó Ísafirði,"Nettó Ísafirði,Hafnarstræti 9-13, 400 Ísafjörður",66.073535,-23.120827,2025,Retail,Countryside
Kjörbúðin Bolungarvík,"Kjörbúðin Bolungarvík,Vitastígur 3, 415 Bolungarvík",66.157417,-23.249398,2025,Retail,Countryside
Kjörbúðin Dalvík,"Kjörbúðin Dalvík,Hafnartorg, 620 Dalvík",65.9726734,-18.5312889,2025,Retail,Countryside
Kjörbúðin Siglufirði,"Kjörbúðin Siglufirði,Suðurgötu 2-4, 580 Siglufirði",66.1501633,-18.9102872,2025,Retail,Countryside
Krambúðin Borgarbraut,"Krambúðin Borgarbraut,Borgarbraut 1, 603 Akureyri",65.6867435,-18.1285142,2025,Retail,Countryside
Krambúðin Byggðavegi,"Krambúðin Byggðavegi,Byggðavegi 98, 603 Akureyri",65.7025368,-18.1315129,2025,Retail,Countryside
Nettó Glerártorgi,"Nettó Glerártorgi,Gleráreyrum 1, 600 Akureyri",65.6825509,-18.0906858,2025,Retail,Countryside
Nettó Hrísalundi,"Nettó Hrísalundi,Hrísalundi 5, 600 Akureyri",65.6774326,-18.1187147,2025,Retail,Countryside
Kjörbúðin Ólafsfirði,"Kjörbúðin Ólafsfirði,Aðalgötu 2-4, 625 Ólafsfirði",66.0736898,-18.644813,2025,Retail,Countryside
Skerjakolla,"Skerjakolla,Bakkagata 10, 670 Kópasker",66.3012086,-16.4434661,2025,Retail,Countryside
Svens Krossmóar,"Svens Krossmóar,Krossmóa 4, 260 Reykjanesbær",63.9997549,-22.5582716,2025,Retail,Countryside
Tækniborg,"Tækniborg,Borgarbraut 58-60, 310 Borgarnes",64.5428612,-21.9123558,2025,Retail,Countryside
Tvisturinn,"Tvisturinn,Faxastígur 36, 900 Vestmannaeyjar",63.4405851,-20.277165,2025,Retail,Countryside
ZOZ,"ZOZ,Hafnargata 23, 230 Reykjanesbær",64.003908,-22.555199,2025,Retail,Countryside
Djákninn Vestmannaeyjum,"Djákninn Vestmannaeyjum, Strandvegur 47, 900 Vestmannaeyjar",63.43777,-20.26719,2025,Specialty,Countryside
Djákninn Akureyri,"Djákninn Akureyri, Gránufélagsgata 4, 600 Akureyri",65.68206,-18.09176,2025,Specialty,Countryside
Djákninn Sauðárkróki,"Djákninn Sauðárkróki, Kaupvangstorg 1, 550 Sauðárkrókur",65.74677,-19.63708,2025,Specialty,Countryside
Skýjaborgir,"Skýjaborgir, Hafnargata 23, 230 Reykjanesbær",63.99813,-22.56111,2025,Specialty,Countryside
Icevape,"Icevape, Strandgata 9, 600 Akureyri",65.68409,-18.08686,2025,Specialty,Countryside
Piknik Brekkustíg,"Piknik Brekkustíg, Brekkustígur 41, 260 Reykjanesbær",63.99813,-22.56111,2025,Specialty,Countryside
Þristurinn Akranesi,"Þristurinn Akranesi, Skólabraut 28, 300 Akranes",64.32179,-22.0749,2025,Specialty,Countryside
